2013,50,Cryptocurrency,10,2
2013,48,Cryptocurrency,8,2
2013,44,Cryptocurrency,13,1
2013,43,Cryptocurrency,4,1
2013,40,Cryptocurrency,5,2
2013,39,Cryptocurrency,2,1
2017,42,Cryptocurrency,12,2
2017,32,Cryptocurrency,0,1
2017,31,Cryptocurrency,2,1
2017,26,Cryptocurrency,11,1
2017,21,Cryptocurrency,10,1
2017,19,Cryptocurrency,6,1
2017,13,Cryptocurrency,9,1
2017,12,Cryptocurrency,14,1
2017,10,Cryptocurrency,12,1
2017,07,Cryptocurrency,10,1
2017,01,Cryptocurrency,6,1
2016,50,Cryptocurrency,15,1
2016,49,Cryptocurrency,5,1
2016,35,Cryptocurrency,14,3
2016,17,Cryptocurrency,23,1
2016,15,Cryptocurrency,7,1
